"Title","Author"
"THE COUNTERREVOLUTION","by Victor Davis Hanson"
"HOW TO EAT AN ELEPHANT","by Sarah Longwell"
"PLOT TWIST","by Harlan Coben"
"AMERICAN SCOUNDREL","by Kai Bird with Susan Goldmark"
"REGIME CHANGE","by Maggie Haberman and Jonathan Swan"
"IN MY DARKEST HOUR","by Dave Mustaine with Joe Layden"
"STRANGERS","by Belle Burden"
"THE BODY KEEPS THE SCORE","by Bessel van der Kolk"
"MONEY TO BURN","by William D. Cohan"
"I ONCE KNEW A GUY NAMED CHARLIE","by Jaclyn Smith"
"THIS IS ME","by Hayden Panettiere"
"ALL ABOUT LOVE","by bell hooks"
"LONDON FALLING","by Patrick Radden Keefe"
"GOING FURTHER","by Ted Cruz"
"THE NERD REICH","by Gil Durán"
"Title","Author"
"THE COUNTERREVOLUTION","Victor Davis Hanson"
"HOW TO EAT AN ELEPHANT","Sarah Longwell"
"PLOT TWIST","Harlan Coben"
"AMERICAN SCOUNDREL","Kai Bird with Susan Goldmark"
"REGIME CHANGE","Maggie Haberman and Jonathan Swan"
"IN MY DARKEST HOUR","Dave Mustaine with Joe Layden"
"STRANGERS","Belle Burden"
"THE BODY KEEPS THE SCORE","Bessel van der Kolk"
"MONEY TO BURN","William D. Cohan"
"I ONCE KNEW A GUY NAMED CHARLIE","Jaclyn Smith"
"THIS IS ME","Hayden Panettiere"
"ALL ABOUT LOVE","bell hooks"
"LONDON FALLING","Patrick Radden Keefe"
"GOING FURTHER","Ted Cruz"
"THE NERD REICH","Gil Durán"
"Title","Author"
"THE COUNTERREVOLUTION","Victor Davis Hanson"
"HOW TO EAT AN ELEPHANT","Sarah Longwell"
"PLOT TWIST","Harlan Coben"
"AMERICAN SCOUNDREL","Kai Bird with Susan Goldmark"
"REGIME CHANGE","Maggie Haberman and Jonathan Swan"
"IN MY DARKEST HOUR","Dave Mustaine with Joe Layden"
"STRANGERS","Belle Burden"
"THE BODY KEEPS THE SCORE","Bessel van der Kolk"
"MONEY TO BURN","William D. Cohan"
"I ONCE KNEW A GUY NAMED CHARLIE","Jaclyn Smith"
"THIS IS ME","Hayden Panettiere"
"ALL ABOUT LOVE","bell hooks"
"LONDON FALLING","Patrick Radden Keefe"
"GOING FURTHER","Ted Cruz"
"THE NERD REICH","Gil Durán"
"Title","Author"
"THE COUNTERREVOLUTION","Victor Davis Hanson"
"HOW TO EAT AN ELEPHANT","Sarah Longwell"
"PLOT TWIST","Harlan Coben"
"AMERICAN SCOUNDREL","Kai Bird with Susan Goldmark"
"REGIME CHANGE","Maggie Haberman and Jonathan Swan"
"IN MY DARKEST HOUR","Dave Mustaine with Joe Layden"
"STRANGERS","Belle Burden"
"THE BODY KEEPS THE SCORE","Bessel van der Kolk"
"MONEY TO BURN","William D. Cohan"
"I ONCE KNEW A GUY NAMED CHARLIE","Jaclyn Smith"
"THIS IS ME","Hayden Panettiere"
"ALL ABOUT LOVE","bell hooks"
"LONDON FALLING","Patrick Radden Keefe"
"GOING FURTHER","Ted Cruz"
"THE NERD REICH","Gil Durán"
"Title","Author"
"THE COUNTERREVOLUTION","Victor Davis Hanson"
"HOW TO EAT AN ELEPHANT","Sarah Longwell"
"PLOT TWIST","Harlan Coben"
"AMERICAN SCOUNDREL","Kai Bird with Susan Goldmark"
"REGIME CHANGE","Maggie Haberman and Jonathan Swan"
"IN MY DARKEST HOUR","Dave Mustaine with Joe Layden"
"STRANGERS","Belle Burden"
"THE BODY KEEPS THE SCORE","Bessel van der Kolk"
"MONEY TO BURN","William D. Cohan"
"I ONCE KNEW A GUY NAMED CHARLIE","Jaclyn Smith"
"THIS IS ME","Hayden Panettiere"
"ALL ABOUT LOVE","bell hooks"
"LONDON FALLING","Patrick Radden Keefe"
"GOING FURTHER","Ted Cruz"
"THE NERD REICH","Gil Durán"
